row_number,video_id,clip_id,sample_id,text,label,annotation,feature_row_index,video_path,source_file_exists,source_file_size_bytes,source_file_sha256,duration_sec,text_tokens,text_valid_windows,audio_valid_windows,vision_valid_windows,text_dim,audio_dim,vision_dim,status,anomalies
2,'-3g5yACwYnA,13,'-3g5yACwYnA_13,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive,0,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\13.mp4,1,1052449,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,5.433333333333334,16,16,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
3,'-3g5yACwYnA,3,'-3g5yACwYnA_3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral,1,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\3.mp4,1,2322206,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,14.366666666666667,32,32,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
4,'-3g5yACwYnA,2,'-3g5yACwYnA_2,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral,2,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\2.mp4,1,1752558,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,9.266666666666667,15,15,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
5,'-3g5yACwYnA,9,'-3g5yACwYnA_9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive,3,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3g5yACwYnA\9.mp4,1,1938491,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,8.766666666666667,28,28,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
6,'-3nNcZdcdvU,5,'-3nNcZdcdvU_5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral,4,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-3nNcZdcdvU\5.mp4,1,336985,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,7.866666666666666,19,19,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
7,'-HwX2H8Z4hY,2,'-HwX2H8Z4hY_2,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral,5,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\2.mp4,1,958873,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,3.966666666666667,12,12,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
8,'-HwX2H8Z4hY,5,'-HwX2H8Z4hY_5,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,Negative,6,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\5.mp4,1,1617346,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,5.6,10,10,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
9,'-HwX2H8Z4hY,6,'-HwX2H8Z4hY_6,"And in part, Al Shanker did too",0.0,Neutral,7,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\6.mp4,1,978678,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,3.3,8,8,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
10,'-HwX2H8Z4hY,9,'-HwX2H8Z4hY_9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative,8,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-HwX2H8Z4hY\9.mp4,1,981914,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,7.733333333333333,22,22,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
11,'-NFrJFQijFE,1,'-NFrJFQijFE_1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,0.3333333432674408,Positive,9,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_1_raw_multimodal_samples\mosei_raw_videos_100\-NFrJFQijFE\1.mp4,1,1024510,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,5.68,16,16,50,50,72,20,20,warning,video_header_decoded_frame_count_mismatch
