sample_id,modality,rank,start_index,end_index,impact_score,source_video,source_type,start_sec,end_sec,frame_start,frame_end,fps,text_evidence,text_time_source
01,text,1,10,14,0.02979644015431404,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.8,2.7,54,80,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,text,2,45,49,0.02865590527653694,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,8.1,9.0,243,269,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,text,3,25,29,0.01570366695523262,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,4.5,5.4,135,161,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,audio,1,10,14,0.022984886541962624,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.8,2.7,54,80,30.0,,
01,audio,2,20,24,0.01238776370882988,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,3.6,4.5,108,134,30.0,,
01,audio,3,35,39,0.007142454385757446,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,6.3,7.2,189,215,30.0,,
01,vision,1,10,14,0.005627829115837812,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.8,2.7,54,80,30.0,,
01,vision,2,20,24,0.004579036496579647,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,3.6,4.5,108,134,30.0,,
01,vision,3,0,4,0.0025369629729539156,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,0.0,0.9,0,26,30.0,,
02,text,1,45,49,0.022780699655413628,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\02.mp4,attachment4_video,3.24,3.6,97,107,30.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window
