sample_id,video_id,clip_id,text,label,annotation
'-3g5yACwYnA_13,'-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive
'-3g5yACwYnA_3,'-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral
'-3g5yACwYnA_2,'-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral
'-3g5yACwYnA_9,'-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive
'-3nNcZdcdvU_5,'-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral
'-HwX2H8Z4hY_2,'-HwX2H8Z4hY,2,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral
'-HwX2H8Z4hY_5,'-HwX2H8Z4hY,5,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,Negative
'-HwX2H8Z4hY_6,'-HwX2H8Z4hY,6,"And in part, Al Shanker did too",0.0,Neutral
'-HwX2H8Z4hY_9,'-HwX2H8Z4hY,9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative
'-NFrJFQijFE_1,'-NFrJFQijFE,1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,0.3333333432674408,Positive
'-NFrJFQijFE_2,'-NFrJFQijFE,2,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,0.0,Neutral
'-THoVjtIkeU_12,'-THoVjtIkeU,12,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",2.0,Positive
'-THoVjtIkeU_2,'-THoVjtIkeU,2,I think social justice is extremely important for young people.,1.3333333730697632,Positive
'-THoVjtIkeU_6,'-THoVjtIkeU,6,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",2.6666667461395264,Positive
'-UuX1xuaiiE_1,'-UuX1xuaiiE,1,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,1.6666666269302368,Positive
'-UuX1xuaiiE_0,'-UuX1xuaiiE,0,^it's amazing to see their enthusiasm and their passion,2.6666667461395264,Positive
'-UuX1xuaiiE_3,'-UuX1xuaiiE,3,My goal is to become a human rights lawyer,0.3333333432674408,Positive
'-UuX1xuaiiE_6,'-UuX1xuaiiE,6,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-0.3333333432674408,Negative
'-a55Q6RWvTA_3,'-a55Q6RWvTA,3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666666865348816,Positive
'-aNfi7CP8vM_7,'-aNfi7CP8vM,7,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",0.0,Neutral
'-aqamKhZ1Ec_0,'-aqamKhZ1Ec,0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,Negative
'-dxfTGcXJoc_1,'-dxfTGcXJoc,1,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",1.6666666269302368,Positive
'-dxfTGcXJoc_0,'-dxfTGcXJoc,0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1.0,Positive
'-dxfTGcXJoc_2,'-dxfTGcXJoc,2,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",0.6666666865348816,Positive
'-dxfTGcXJoc_6,'-dxfTGcXJoc,6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,0.6666666865348816,Positive
'-egA8-b7-3M_26,'-egA8-b7-3M,26,We're updating it all the time and looking forward to your comments on our videos.,1.6666666269302368,Positive
'-egA8-b7-3M_17,'-egA8-b7-3M,17,"As you have more experience, you have more times exhibiting, you get to know more people.",0.3333333432674408,Positive
'-egA8-b7-3M_18,'-egA8-b7-3M,18,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,1.0,Positive
'-egA8-b7-3M_16,'-egA8-b7-3M,16,"Third, another big benefit of exhibiting is connecting with existing clients.",0.6666666865348816,Positive
'-egA8-b7-3M_13,'-egA8-b7-3M,13,"What are you doing that's different?"" They always want an answer.",0.3333333432674408,Positive
'-egA8-b7-3M_1,'-egA8-b7-3M,1,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,0.6666666865348816,Positive
'-egA8-b7-3M_6,'-egA8-b7-3M,6,First exhibiting is a wonderful opportunity to network with other legal vendors.,0.6666666865348816,Positive
'-egA8-b7-3M_9,'-egA8-b7-3M,9,"Secondly, another goal of exhibiting  is building your company image.",0.3333333432674408,Positive
'-egA8-b7-3M_20,'-egA8-b7-3M,20,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",0.3333333432674408,Positive
'-iRBcNs9oI8_3,'-iRBcNs9oI8,3,"Well, it is the secret of power pose",0.6666666865348816,Positive
'-iRBcNs9oI8_7,'-iRBcNs9oI8,7,"Well, for starters, let's look at the word ""power""",0.6666666865348816,Positive
'-iRBcNs9oI8_6,'-iRBcNs9oI8,6,What is a power pose,0.3333333432674408,Positive
'-iRBcNs9oI8_9,'-iRBcNs9oI8,9,Power is similar to strength,1.3333333730697632,Positive
